Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max
Ellis Martin,ROWING,22-11-2023,5:37:51,2:01:28,9.93,154,4.9,17.2,12:14,3:29,1141,,,,,,,,,,,173,69,,,54
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),,,,,,,,,,,,,,,,
1,0:00:00,138,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:01,140,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:02,141,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:03,141,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:04,141,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:05,140,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:06,139,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:07,137,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:08,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:09,135,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:10,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:11,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:12,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:13,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:14,137,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:15,137,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:16,136,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:17,134,,,,,,0,,,,,,,,,,,,,,,,,,
,0:00:18,133,3.1,19:06,,,,0,,,,,,,,,,,,,,,,,,
,0:00:19,132,3.1,19:07,,,,2.03,,,,,,,,,,,,,,,,,,
,0:00:20,130,3.1,19:08,,,,4.38,,,,,,,,,,,,,,,,,,
,0:00:21,129,2.4,25:09:00,,,,5.52,,,,,,,,,,,,,,,,,,
,0:00:22,127,1.9,31:51:00,,,,5.52,,,,,,,,,,,,,,,,,,
,0:00:23,125,1.4,41:43:00,,,,6.62,,,,,,,,,,,,,,,,,,
,0:00:24,124,1.1,57:00:00,,,,11.4,,,,,,,,,,,,,,,,,,
,0:00:25,124,0.9,67:53:00,,,,14.78,,,,,,,,,,,,,,,,,,
,0:00:26,125,0.7,90:38:00,,,,15.08,,,,,,,,,,,,,,,,,,
,0:00:27,125,0.4,135:56:00,,,,15.08,,,,,,,,,,,,,,,,,,
,0:00:28,126,0.3,203:57:00,,,,15.08,,,,,,,,,,,,,,,,,,
,0:00:29,126,0.2,305:49:00,,,,15.08,,,,,,,,,,,,,,,,,,
,0:00:30,125,0.2,292:24:00,,,,17.06,,,,,,,,,,,,,,,,,,
,0:00:31,124,0.2,379:16:00,,,,17.92,,,,,,,,,,,,,,,,,,
,0:00:32,125,0.1,0:00,,,,17.92,,,,,,,,,,,,,,,,,,
,0:00:33,126,0,0:00,,,,17.92,,,,,,,,,,,,,,,,,,
,0:00:34,127,0,0:00,,,,17.92,,,,,,,,,,,,,,,,,,
,0:00:35,128,0,0:00,,,,17.92,,,,,,,,,,,,,,,,,,
,0:00:36,129,0,0:00,,,,17.92,,,,,,,,,,,,,,,,,,
